timestamp,date,version,fees_usd
1652313600,2022-05-12,Frax Swap,2208.0
1652400000,2022-05-13,Frax Swap,330.0
1652486400,2022-05-14,Frax Swap,326.0
1652572800,2022-05-15,Frax Swap,167.0
1652659200,2022-05-16,Frax Swap,1717.0
1652745600,2022-05-17,Frax Swap,17932.0
1652832000,2022-05-18,Frax Swap,7085.0
1652918400,2022-05-19,Frax Swap,10304.0
1653004800,2022-05-20,Frax Swap,21327.0
1653091200,2022-05-21,Frax Swap,5377.0
1653177600,2022-05-22,Frax Swap,6223.0
1653264000,2022-05-23,Frax Swap,5726.0
1653350400,2022-05-24,Frax Swap,3787.0
1653436800,2022-05-25,Frax Swap,7703.0
1653523200,2022-05-26,Frax Swap,2571.0
1653609600,2022-05-27,Frax Swap,3853.0
1653696000,2022-05-28,Frax Swap,6391.0
1653782400,2022-05-29,Frax Swap,36245.0
1653868800,2022-05-30,Frax Swap,6269.0
1653955200,2022-05-31,Frax Swap,3494.0
1654041600,2022-06-01,Frax Swap,5738.0
1654128000,2022-06-02,Frax Swap,4034.0
1654214400,2022-06-03,Frax Swap,732.0
1654300800,2022-06-04,Frax Swap,13379.0
1654387200,2022-06-05,Frax Swap,2130.0
1654473600,2022-06-06,Frax Swap,2456.0
1654560000,2022-06-07,Frax Swap,3683.0
1654646400,2022-06-08,Frax Swap,7704.0
1654732800,2022-06-09,Frax Swap,7912.0
1654819200,2022-06-10,Frax Swap,7512.0
1654905600,2022-06-11,Frax Swap,5791.0
1654992000,2022-06-12,Frax Swap,5353.0
1655078400,2022-06-13,Frax Swap,14002.0
1655164800,2022-06-14,Frax Swap,7527.0
1655251200,2022-06-15,Frax Swap,12615.0
1655337600,2022-06-16,Frax Swap,8091.0
1655424000,2022-06-17,Frax Swap,4408.0
1655510400,2022-06-18,Frax Swap,16104.0
1655596800,2022-06-19,Frax Swap,4736.0
1655683200,2022-06-20,Frax Swap,13562.0
1655769600,2022-06-21,Frax Swap,7899.0
1655856000,2022-06-22,Frax Swap,3747.0
1655942400,2022-06-23,Frax Swap,4369.0
1656028800,2022-06-24,Frax Swap,6266.0
1656115200,2022-06-25,Frax Swap,3704.0
1656201600,2022-06-26,Frax Swap,5404.0
1656288000,2022-06-27,Frax Swap,7566.0
1656374400,2022-06-28,Frax Swap,6339.0
1656460800,2022-06-29,Frax Swap,8457.0
1656547200,2022-06-30,Frax Swap,141958.0
1656633600,2022-07-01,Frax Swap,13142.0
1656720000,2022-07-02,Frax Swap,3717.0
1656806400,2022-07-03,Frax Swap,2308.0
1656892800,2022-07-04,Frax Swap,5477.0
1656979200,2022-07-05,Frax Swap,7102.0
1657065600,2022-07-06,Frax Swap,8070.0
1657152000,2022-07-07,Frax Swap,6368.0
1657238400,2022-07-08,Frax Swap,5683.0
1657324800,2022-07-09,Frax Swap,1916.0
1657411200,2022-07-10,Frax Swap,3652.0
1657497600,2022-07-11,Frax Swap,3951.0
1657584000,2022-07-12,Frax Swap,4755.0
1657670400,2022-07-13,Frax Swap,11634.0
1657756800,2022-07-14,Frax Swap,5256.0
1657843200,2022-07-15,Frax Swap,4450.0
1657929600,2022-07-16,Frax Swap,6808.0
1658016000,2022-07-17,Frax Swap,3893.0
1658102400,2022-07-18,Frax Swap,12428.0
1658188800,2022-07-19,Frax Swap,42796.0
1658275200,2022-07-20,Frax Swap,23887.0
1658361600,2022-07-21,Frax Swap,6605.0
1658448000,2022-07-22,Frax Swap,9397.0
1658534400,2022-07-23,Frax Swap,4859.0
1658620800,2022-07-24,Frax Swap,4395.0
1658707200,2022-07-25,Frax Swap,7127.0
1658793600,2022-07-26,Frax Swap,7154.0
1658880000,2022-07-27,Frax Swap,6148.0
1658966400,2022-07-28,Frax Swap,41060.0
1659052800,2022-07-29,Frax Swap,9604.0
1659139200,2022-07-30,Frax Swap,11726.0
1659225600,2022-07-31,Frax Swap,15941.0
1659312000,2022-08-01,Frax Swap,14110.0
1659398400,2022-08-02,Frax Swap,50633.0
1659484800,2022-08-03,Frax Swap,14109.0
1659571200,2022-08-04,Frax Swap,6255.0
1659657600,2022-08-05,Frax Swap,8835.0
