title,votes,quorum,proposal_link
[FIP - 314] Add Curve FRAX/FXB_20241231 on Ethereum to the FXS gauge controller,24,404%,https://snapshot.box/#/s:frax.eth/proposal/0xb90e021f7d8a0e51c66ce095780764efd44cffab31e29c5ae0030977bacfd316
[FIP - 313] Add Curve FRAX/FXB_20240630 on Ethereum to the FXS gauge controller,23,404%,https://snapshot.box/#/s:frax.eth/proposal/0x9d98545a5ac87ffd64c79645615b974e5ff1f57d74494f63535c7faa61afa817
[FIP - 312] Add Curve FRAX/FXB_20261231 on Arbitrum to the FXS gauge controller,26,404%,https://snapshot.box/#/s:frax.eth/proposal/0xb9de234738e054b7c308871267244bbbad15e960301775a91e6b23571b58770c
[FIP - 311] Add Curve FRAX/FXB_20241231 on Arbitrum to the FXS gauge controller,27,404%,https://snapshot.box/#/s:frax.eth/proposal/0x0711603563df0708fc43a6a145c9816fe4dde1ba2a02b8095bbc4a6941162ff0
[FIP - 310] Add Curve pxETH/frxETH to FXS Gauge Controller,29,145%,https://snapshot.box/#/s:frax.eth/proposal/0xa216b18b2a3dcaf6f1f025a353bd83905259037f629b105d889cd1953b30b372
[FIP - 309] Add TricryptoFRAX to FXS Gauge Controller,22,421%,https://snapshot.box/#/s:frax.eth/proposal/0x96141f67ade4b4e237bacbc010702fe4b917ed6deffb68af9efc40d360c551c8
[FIP - 308] Onboard Frax to Centrifuge Prime,18,423%,https://snapshot.box/#/s:frax.eth/proposal/0x63c1816b90e9b05e4f801feee8d87070aded7318c5fbc5b947034ef3d7ad43f4
[FIP - 307] Whitelisting PYUSD for Frax Curve AMO,22,408%,https://snapshot.box/#/s:frax.eth/proposal/0x6b29ba10ac8de0c16343510b6e9f1fa6f7697e9e58308b8f9beece84d5829870
[FIP - 306] Authorize Fraxlend AMO for new pair ( FXB_20260101 ),19,408%,https://snapshot.box/#/s:frax.eth/proposal/0xd1c8c80b677df7bccd9900185d227b6af00dc68986d915e9ac5192811add0406
[FIP - 305] Authorize Fraxlend AMO for new pair ( FXB_20250101 ),20,486%,https://snapshot.box/#/s:frax.eth/proposal/0x73813747cf9d0497d0be7d6787770a84bcf0376e102bb97406a728422cb5eee3
[FIP - 304] Authorize Fraxlend AMO for new pair ( FXB_20240601 ),20,486%,https://snapshot.box/#/s:frax.eth/proposal/0xc8227b15625fcd7b3fe83fae28595911d7f0291e70f7f37d3d52f636e0daba36
[FIP - 303] Implement ragequit function for VST-FRAX Gauge locker with 7% fee,21,484%,https://snapshot.box/#/s:frax.eth/proposal/0x1383e77cdbb30541b24af05e461ee1c02545b4bc128b1fa113abbc9aa41262b4
[FIP - 302] Add Curve frxETH/WETH on Arbitrum to the FXS gauge controller,24,404%,https://snapshot.box/#/s:frax.eth/proposal/0x16af651fc44ae40145f0cb3fedbd933591dcde13556e6930e3ae17262fd19a8c
[FIP - 301] Add Curve FRAX/USDC.e on Arbitrum to the FXS gauge controller,17,404%,https://snapshot.box/#/s:frax.eth/proposal/0xaa396f04bf42112ac649fba72c871cf78b71129cb6c9c027b8e5cea9423f5efd
[FIP - 300] Frax Finance and Axelar network,20,423%,https://snapshot.box/#/s:frax.eth/proposal/0x2417e41ced125b666a56ef8187980f2bc56e1c1a3c86dd99eec2744d7dca5602
[FIP - 299] Deploy Fraxferry for sFRAX ( Avalanche ),20,423%,https://snapshot.box/#/s:frax.eth/proposal/0xef6ba0a05921493c416347a9eda96df9d742deda20121a1e45245e4b26cefa25
[FIP - 298] Deploy Fraxferry for sFRAX ( BSC ),20,423%,https://snapshot.box/#/s:frax.eth/proposal/0xac9b276bd91e308b823875f589b1bcbeb7d925ce280760723e1ea5e0fac5944a
[FIP - 297] Deploy Fraxferry for sFRAX ( Polygon zkEVM ),20,423%,https://snapshot.box/#/s:frax.eth/proposal/0x6d8ceca85bfadadbbf1eee032312df81b8b2517400a746dc09f7ad3342a66365
[FIP - 296] Deploy Fraxferry for sFRAX ( Optimism ),20,423%,https://snapshot.box/#/s:frax.eth/proposal/0xb89a7eb496cb5f53fdafb55f67370270758fe015aeeb418f830574dd7971b13e
[FIP - 295] Deploy Fraxferry for sFRAX ( Arbitrum ),21,423%,https://snapshot.box/#/s:frax.eth/proposal/0xbd5db34c5cd0690ca6e3cf90bb5e3ddd848859bea64ba06edf9c9dd73fbf8f84
[FIP - 294] Add pETH-frxETH to FXS Gauge Controller,20,463%,https://snapshot.box/#/s:frax.eth/proposal/0x24a0663144ba866a28d7a62779e347c6217161feab4c99e9a569e8dce9076bd6
[FIP-293] Add USD+/FraxBP curve pool on Arbitrum to FXS gauge controller,54,422%,https://snapshot.box/#/s:frax.eth/proposal/0x2dd14d5f28c839f29e954c44c1a588f4611e2c98ba306a57197353c9af156e4e
[FIP - 292] Implement ragequit function for VST-FRAX Gauge locker with 0 fee,38,527%,https://snapshot.box/#/s:frax.eth/proposal/0xdb2985a08722dc4e21c298eb0876f2838583a672e9d3f817c4bfbccf17889ce1
[FIP - 291] Add triSDT to the gauge controller,27,414%,https://snapshot.box/#/s:frax.eth/proposal/0x88548b302d3a9b856212427232897ad320ae41b7d6abf8499f87e75b6c13400e
[FIP-290] Add Arrakis LST Vaults of frxETH/FRAX (Arbitrum) to FXS Gauge Controller,27,415%,https://snapshot.box/#/s:frax.eth/proposal/0xac50d24196c5358dd3cc6f227c9007e6ba15d36eee8b19843bc7aff92c876db5
[FIP-289] Add Arrakis LST Vaults of frxETH/FRAX (Mainnet) to FXS Gauge Controller,27,415%,https://snapshot.box/#/s:frax.eth/proposal/0x4c3f381b7c7b74f6208d3bf9c1ab4a10006580617c1f0c6e135af018a1cc662a
[FIP-288] Add Curve mkUSD/FRAXBP to the FXS gauge controller,18,399%,https://snapshot.box/#/s:frax.eth/proposal/0x9cc62867f0c21f2a21683091a2ac53f6c7fe3d891e20de83f32b121fcab82359
[FIP - 287] FRAX <> Accumulated Finance – Invite to a private round,20,466%,https://snapshot.box/#/s:frax.eth/proposal/0x6b7f517c3510ab5981396be022f1fbf50b294752e4a69720d1d55a82c522f4d6
[FIP - 286] Sticker MVP Proposal,26,404%,https://snapshot.box/#/s:frax.eth/proposal/0x33108bcda13cc7156eda6341112cf68b6d88c5bb454225fb05ab3ce767a7b01d
[FIP - 285] sFRAX Governance Proposal,28,449%,https://snapshot.box/#/s:frax.eth/proposal/0xf3ba05931b821973807baa99af0b9ab0aafbf3dd40ddf32d5ccec1ac05d94a5e
[FIP-284] Flywheel Website Subsidy,29,117%,https://snapshot.box/#/s:frax.eth/proposal/0xf42cd6542eb39fd73d9362ef545ce00bb385dc7418e0a61c65bc0414704d4844
[FIP - 283] Sunset Fraxferry for FRAX ( EVMOS ),21,399%,https://snapshot.box/#/s:frax.eth/proposal/0x1b63952f602704a6307b023f9d589643fffdd7273bd36b5e2fbc13610911de39
[FIP - 282] Sunset Fraxferry for FRAX ( Aurora ),18,399%,https://snapshot.box/#/s:frax.eth/proposal/0x797735f816d6113fd9a0a617dfeaeedc39849af4616900f68587095598a2b119
[FIP - 281] Sunset Fraxferry for FRAX ( Boba ),17,399%,https://snapshot.box/#/s:frax.eth/proposal/0x82cc7f6bc01980041573e0ff7e2c545025ae1fc08ae84c625bdda4f66a044db8
[FIP - 280] Implement Saddle L2D4 Gauge ragequit function with 20% fee,19,478%,https://snapshot.box/#/s:frax.eth/proposal/0x41a2ef2d68725654b73ea5ac05410822f32ef2473a61ef7b7c4827b9705400d4
[FIP - 279] Add Curve frxETH/WETH to the FXS gauge controller,22,482%,https://snapshot.box/#/s:frax.eth/proposal/0xd361c2ab6af4fe8e2805cee69a14abee3a9246b592e38a7fbde2f6588c878274
[FIP-278] Acquire CRV with DAO treasury funds,46,146%,https://snapshot.box/#/s:frax.eth/proposal/0xd8e256987215edc365f8500ef28481395e666854892ac7f04d474523693b8ac7
[FIP - 277] Onboard FinresPBC as FRAX v3's Offchain RWA Partner,48,487%,https://snapshot.box/#/s:frax.eth/proposal/0x45be90edd0fd3a0c0d919defcb392dff5d22935daefa1a22169bae3ebdd7231d
[FIP - 276] Add a new market into Fraxlend on Ethereum (FRAX/WETH),21,403%,https://snapshot.box/#/s:frax.eth/proposal/0xeb4b60bde608d516672cc234b197188a634e2678f17129cd3dbc07bdd044e931
[FIP - 275] Add a new market into Fraxlend on Ethereum (FRAX/WBTC),18,403%,https://snapshot.box/#/s:frax.eth/proposal/0x20f8dca5ada6b6c656049d6a9c87f7cdb61e51b00eba96994ee87098151f9d81
[FIP - 274] Whitelist Flywheel DeFi to Stake veFXS,20,403%,https://snapshot.box/#/s:frax.eth/proposal/0x8d395e883318b9f4593b8df35e4099390817054951a21da795f6acf049cdda4b
[FIP - 273] Add zETH/frxETH to FXS gauge controller,16,396%,https://snapshot.box/#/s:frax.eth/proposal/0x14385409eade6eda98e015641a234393358aab28b96d27433396bd285fe962ce
[FIP - 272] Deploy Fraxferry for sfrxETH ( Base ),16,474%,https://snapshot.box/#/s:frax.eth/proposal/0x6829c62b568e840236f35d4a9aa02aad9e2f67561124015b05b1a8d0a3da2127
[FIP - 271] Deploy Fraxferry for frxETH ( Base ),15,467%,https://snapshot.box/#/s:frax.eth/proposal/0xfc48c6c2fe49ad819ba54cee039f088d63026a9c9473d3e1d56ce58672fd15d8
[FIP - 270] Deploy Fraxferry for FXS ( Base ),11,393%,https://snapshot.box/#/s:frax.eth/proposal/0xbd8d1dbd3f19670cdec1b36ccf75ffc3473afe8f3afe68f1b2532395c94203e1
[FIP - 269] Deploy Fraxferry for FRAX ( Base ),11,393%,https://snapshot.box/#/s:frax.eth/proposal/0x1e0a598f49be908c934a46d238d8be8b914669a1d6cb9f96194a180aa0a37e69
[FIP 268] Add GRAI/FraxBP to FXS gauge controller,21,380%,https://snapshot.box/#/s:frax.eth/proposal/0x56d8a114d6fd4a3c98115dac66f8ef49ccbb06b31b6b59b2eda51aa216670573
[FIP - 267] Authorize Fraxlend AMO to Share Allocations Between v1 and v3 Lending Pairs,19,395%,https://snapshot.box/#/s:frax.eth/proposal/0x2edf3f06ec8e90fdfc812bcc2b5c302fa654b7ac342bd9853a6062fa8957b42a
[FIP-266] Add Curve GHO/FRAXBP to the FXS gauge controller,18,399%,https://snapshot.box/#/s:frax.eth/proposal/0xb46177b4d48361464834732c953ab3b2a913e46475d14efe7e378ae775aff270
[FIP - 265] Add the Fraximal Vault Token to FXS Gauge Controller,18,380%,https://snapshot.box/#/s:frax.eth/proposal/0x0efde07bd4eba662f0d66282272a021a3970ab2ee92713a70ab759d635073e67
[FIP - 264] Add a new market into Fraxlend on Ethereum (sfrxETH/stETH - Variable Rate V2),20,380%,https://snapshot.box/#/s:frax.eth/proposal/0xc526022aabc3841988c2e03c66fd41c35ae450bee9412906c83c9785234c12aa
[FIP - 263] Deploy Fraxferry for sfrxETH ( Fantom ),17,378%,https://snapshot.box/#/s:frax.eth/proposal/0x0506af3dca9cd567dff9c221a08ad85711b81284607cf59afd3a67a6bfc05930
[FIP - 262] Authorize Fraxlend AMO for new pair on Arbitrum ( GMX/FRAX - Variable Rate V2 ),19,383%,https://snapshot.box/#/s:frax.eth/proposal/0xac2ed471b25f14f073296d101575e40973e24e89bda086f93252c2498d943911
[FIP - 261] Authorize Fraxlend AMO for new pair on Arbitrum ( WBTC/FRAX - Variable Rate V2 ),18,383%,https://snapshot.box/#/s:frax.eth/proposal/0x849ac28c419c0758cf2e18faa8dd9ee057adfea499be20da402ffdd06baedf13
[FIP - 260] Implement FRAX/DAI Gelato Uniswap pool ragequit function with 20% fee,29,395%,https://snapshot.box/#/s:frax.eth/proposal/0x4ebec90410c4328441c5721ebe63710d7da0ce916e0fbd20a17e2981ac30cef0
[FIP-259] Add msETH/frxETH to FXS gauge controller,35,449%,https://snapshot.box/#/s:frax.eth/proposal/0xc1246e265474812b6d6b4ec4f240401599c078356f789204f32d93ad7da1e2e2
[FIP-258] Flywheel Grant Amendments,29,151%,https://snapshot.box/#/s:frax.eth/proposal/0x4b5d13690207bf5a145b3c817b1bab3e39fb7dcfdf8e0805421d3778f9ac43fe
[FIP - 257] Authorize frxETH Curve AMO for a new pair ( frxETH-stETH ),29,153%,https://snapshot.box/#/s:frax.eth/proposal/0xf2a927df8ed6a736fb25f17c47e1aa678b16588ad3e8a47148590cc054e976fe
"[FIP - 40] [Revote] Funding Frax Core Development, Community Outreach, and Grants",28,452%,https://snapshot.box/#/s:frax.eth/proposal/0x0d8973c145aed1d3a2bbe994c39f9391c5e29ff1ef8875e9f4f2a9bf8da8cfe7
[FIP -256] Optimizing FIP-77’s TWAMM Parameters,22,453%,https://snapshot.box/#/s:frax.eth/proposal/0xb0318154a2cd9a89fe4aa4dee58246581002abfa5c4d8855ac6344bc04873bd5
[FIP - 255] Set Fees at 50% for All Sunset Pairs on Fraxlend,21,377%,https://snapshot.box/#/s:frax.eth/proposal/0xe5eb1c7567103e3f766c6fff5a6b74a6db9dbe889303fc4bde62e94881209fc2
[FIP- 254] Frax Ecosystem Educational Incentives Program Amendments,26,189%,https://snapshot.box/#/s:frax.eth/proposal/0x09c5015d193d3c2adeab07958dbd8a7248e183e6d3ca946b8b7ae16a26482086
[FIP - 253] Add rETH/frxETH(StaFi protocol) to FXS gauge controller,26,387%,https://snapshot.box/#/s:frax.eth/proposal/0xeb487ca7307463f131d1099643c12f906499eadaa97bf461221567edf74b1628
[FIP - 252] Add the future FRAX/ETH pool on Swaap v2 to FXS gauge controller,28,199%,https://snapshot.box/#/s:frax.eth/proposal/0x0d3a4625b28dd5261544684508dd9652513b41c16bdff349d8ee293eade39ec4
[FIP - 251] Add ZUSD/FRAXBP to FXS gauge controller,18,386%,https://snapshot.box/#/s:frax.eth/proposal/0x6f5bd385602db206352f14b12b1910c5eeb0918d6257f2562422a03dc3793fb5
[FIP - 250] Axelar <> Frax: Match $5k per month worth of bribes towards  axlUSDC-FRAXBP Curve pool on Arbitrum,18,386%,https://snapshot.box/#/s:frax.eth/proposal/0x03b31c0da21da1b61e14c667ab01b0efe59f71a9a3d443355cf1cd3e7dac4c77
[FIP - 249] Axelar <> Frax: Add axlUSDC-FRAXBP Curve pool on Arbitrum to the FXS gauge controller,18,386%,https://snapshot.box/#/s:frax.eth/proposal/0xb949fa383b782e7b5c55e5e48cd72af55f43577bac4ac8460b2f5665df30dac8
[FIP - 248] Add frxETH-CRV Curve Pool to FXS gauge controller,22,179%,https://snapshot.box/#/s:frax.eth/proposal/0x27d8a18f92c157151c4b708829eaf0d1f356e37c3637f4aece5d97a677faeeff
[FIP - 247] Add frxETH-alETH Curve Pool to FXS gauge controller,19,179%,https://snapshot.box/#/s:frax.eth/proposal/0x59e619b9d0acb4ae05ca56dfa471db8bf0af3ba296aecae97113c2a0ebc47fbb
[FIP - 246] Add frxETH-ankrETH Curve Pool to FXS gauge controller,20,179%,https://snapshot.box/#/s:frax.eth/proposal/0xddc030d6ae8f3ea16c6af39aabe1a8aec920c270917e32f38221eeefce8a72b4
[FIP - 245] Add frxETH-CVX Curve Pool to FXS gauge controller,15,121%,https://snapshot.box/#/s:frax.eth/proposal/0x3094635b7a4082fe26181c98137fe67c7438efd68b7cf6959f568a1c7a9d1946
[FIP - 244] Add frxETH-sETH Curve Pool to FXS gauge controller,13,103%,https://snapshot.box/#/s:frax.eth/proposal/0x4d45037882f8299939a3b26639647560f758f9e439418d32a1928976c2d8a68b
[FIP - 243] Add frxETH-cbETH Curve Pool to FXS gauge controller,12,77.3%,https://snapshot.box/#/s:frax.eth/proposal/0x65697dbd234b2d8224ffd3cc4001e003cadd14eb473b1e406d9bfad043c0b399
[FIP - 242] Add frxETH-rETH Curve Pool to FXS gauge controller,11,103%,https://snapshot.box/#/s:frax.eth/proposal/0x4f702dd0d4a5a0d4f462b5c26927f217efb677cf2f2bc3f46921689a26b2f087
[FIP - 241] Add frxETH-stETH Curve Pool to FXS gauge controller,11,139%,https://snapshot.box/#/s:frax.eth/proposal/0x1cf21fabe845617ce9ff3f619c76ee3ae761de09be7e9290214522aed9d87626
[FIP - 240] FX Protocol <> Frax Finance,10,383%,https://snapshot.box/#/s:frax.eth/proposal/0xdf753431a4be5685b75e2966fb05203d2e694102d013d6f27f5c2e5406916c79
[FIP - 239] FRAX <> Convergence - Seed investment proposal,23,399%,https://snapshot.box/#/s:frax.eth/proposal/0x5f916e176c982b0e1d0709b26938fe0519f591f1c96f4d631bc92ad21b832cc5
[FIP - 238] Frax Lend ITB Risk Management Tools,19,370%,https://snapshot.box/#/s:frax.eth/proposal/0x704bf7a019283caf2b3fa531d2af03b94f21a1f5f3de37798f0cddc9208ba6c5
[FIP - 237] Authorize Fraxlend AMO for a new pair ( rETH/FRAX - Variable Rate ),32,419%,https://snapshot.box/#/s:frax.eth/proposal/0xae47a1d541341671d323804f2cd711561cac7d89d2c643be58f93a63943ba29c
[FIP - 236] Authorize Fraxlend AMO for a new pair ( stETH/FRAX - Variable Rate ),26,419%,https://snapshot.box/#/s:frax.eth/proposal/0x17eb0f55fba85aa83e74edf60d430bd24ecb6c55137d2f8d3f35029070aaeae7
[FIP - 235] Add crvUSD/Frax pool to the FXS gauge controller,25,415%,https://snapshot.box/#/s:frax.eth/proposal/0xd33c945e078ab54fbe3f7601640b8b733aa2f07f580b799bd79f93aea51e2fb7
[FIP - 234] Add swETH/frxETH Curve pool to FXS gauge controller,23,377%,https://snapshot.box/#/s:frax.eth/proposal/0x4c5d511713fe09c0721830589619d84ad950813556adea91b7f1462bde3248af
[FIP - 233] Authorize Fraxlend AMO for new pair on BSC ( sfrxETH/FRAX - Variable Rate V2 ),25,494%,https://snapshot.box/#/s:frax.eth/proposal/0xc2a5aa2899e9029532cbe1581bee1283f88155cf183e00adb6938affb7fe14b1
[FIP - 232] Authorize Fraxlend AMO for new pair on Optimism ( sfrxETH/FRAX - Variable Rate V2 ),21,494%,https://snapshot.box/#/s:frax.eth/proposal/0xd8c621c5c9a140788e0e8af6c5653a1930419317045bea7eca5b86851c781e9b
[FIP - 231] Authorize Fraxlend AMO for new pair on Arbitrum ( sfrxETH/FRAX - Variable Rate V2 ),21,494%,https://snapshot.box/#/s:frax.eth/proposal/0xd7d49c8856f071047ba2aeaf594f5545a7f39619025be31140cf9095fd869904
[FIP - 230] Frax Finance Comprehensive Annual Budget Request (2023 - 2024),33,466%,https://snapshot.box/#/s:frax.eth/proposal/0x7a9b3956628d54323a5e905f5b7f367402dbb7b857a43259b26a611f7bed0382
[FIP - 229] Expand eligibility for FXS gauge to include pools/vaults with frxETH as underlying token,31,466%,https://snapshot.box/#/s:frax.eth/proposal/0x25c4aeb3e82ff45ea07b9eb3f6ee586942a33ba4adb0ec571afe8c1edd9eb7b3
[FIP - 228] Add FRAX/USDP Curve pool to FXS gauge controller,26,385%,https://snapshot.box/#/s:frax.eth/proposal/0x4944be1be986e62d314b29dcd5e37a115120a9b44bd04345821a1969bbc511f7
[FIP - 227] FRAX <> Prisma Finance pre-launch raise participation,37,486%,https://snapshot.box/#/s:frax.eth/proposal/0x792e399c30b6217f7f0157d7653a432c730cdaac573b872dbf74de55990a00cd
[FIP - 226] Anthias.xyz x FraxLend Liquidation Health Tooling Grant Proposal,29,373%,https://snapshot.box/#/s:frax.eth/proposal/0x8e532221f9c7e4b4550c0e5a0c7f483994a847b6dbb05c9f95e04302ea3c4085
[FIP - 225] Deploy Fraxferry for sfrxETH ( Avalanche ),32,463%,https://snapshot.box/#/s:frax.eth/proposal/0x3c065ff497cc907ba73f49a2bbb739dce0c8bc032c9d9689cdc781e9b812a6c5
[FIP - 224] Deploy Fraxferry for frxETH ( Avalanche ),29,463%,https://snapshot.box/#/s:frax.eth/proposal/0x2dfd3e7eb88de7ce4d2cd2e6002e7e26e8f056dc8036644a910af1304eda5a53
[FIP - 223] Add COIL/FraxBP to FXS gauge controller,28,463%,https://snapshot.box/#/s:frax.eth/proposal/0x254de9b800481b73cfce96ed1eb27ae0811ede9ff1566a358231ce02dc89b48c
[FIP - 222] TAX/FEE (deprecated) StakeDAO Frax-Eth Put Pool Unlock,34,485%,https://snapshot.box/#/s:frax.eth/proposal/0xa3344616d6cc55fd28cfc6924f756f39af550bd83152ada8095aaa052f2b5a97
[FIP - 221] Contributing to the 4626 Alliance,38,111%,https://snapshot.box/#/s:frax.eth/proposal/0xd703be9e56d9972ee0b0c54b9005662c470d3b4756bfc2ac1d575794eb257223
[FIP - 220] Add rETH/frxETH (StaFi protocol) to FXS gauge controller,33,420%,https://snapshot.box/#/s:frax.eth/proposal/0xc70e91c53cb38ea5386c025274a3884e7d27fe96ae702aef26762e03d34ca838
[FIP - 219] Increase Fraxlend AMO allocation for a pair ( sfrxETH/FRAX - Variable Rate V2 ),37,416%,https://snapshot.box/#/s:frax.eth/proposal/0xb926620bda1a420dae2ef971e5d6339946ec1862e05dc1bbd495d79666f3cd34
[FIP - 218] Fraxbuild Hackathon Funding,40,133%,https://snapshot.box/#/s:frax.eth/proposal/0xf1c595a8fcf4f3b3cfd9eb33dc0c885aeb1d7d8de3204ec50213839c0a2e364d
[FIP - 217] Deploy Fraxferry for sfrxETH ( Polygon ),34,378%,https://snapshot.box/#/s:frax.eth/proposal/0x2acfc68d8253e0c3269c204b3f787b1b223381595df342fbe64acbf9c7c39470
[FIP - 216] Activate AMO that lends FRAX to Flux Finance,30,368%,https://snapshot.box/#/s:frax.eth/proposal/0x11e285e59830fe2a6dec50138e335d7ba69036da2f915db465b38a64623b3717
[FIP - 215] Add UZD/FraxBP to FXS gauge controller,24,368%,https://snapshot.box/#/s:frax.eth/proposal/0xa47c83748f0e8e8af85c967bc876bd62a40fa5f109b1b923feb42155ff3c4fdb
[FIP - 214] Unlock the StakeDAO sdETH-FraxPut Gauge,56,642%,https://snapshot.box/#/s:frax.eth/proposal/0x6ac91764eb38b5269c07123629506677faf40cf6238378747e25a7fa0c503f2a
[FIP - 213] Authorize Fraxlend AMO for a new pair on Arbitrum ( ARB/FRAX - Variable Rate V2 ),42,452%,https://snapshot.box/#/s:frax.eth/proposal/0xf497fe1a6d283d92e31a5401d3e121942b7805551c8d0a8cfdb8060c1364418c
[FIP - 212] Deploy Fraxferry for sfrxETH ( Polygon zkEVM ),45,532%,https://snapshot.box/#/s:frax.eth/proposal/0x484024caf65884499876d0ea450ffc9369c37713862d693e1ba130b078712e97
[FIP - 211] Deploy Fraxferry for frxETH ( Polygon zkEVM ),38,532%,https://snapshot.box/#/s:frax.eth/proposal/0x8deca160a2afeac92bdc22a8126f9314de47a73df756271299e09be87e6984a4
[FIP - 210] Deploy Fraxferry for FXS ( Polygon zkEVM ),36,528%,https://snapshot.box/#/s:frax.eth/proposal/0x06552edbbb92c6cf3c2211528563866cbfc1130bd7b9d66f7045cf2b48d756ae
[FIP - 209] Deploy Fraxferry for FRAX ( Polygon zkEVM ),36,529%,https://snapshot.box/#/s:frax.eth/proposal/0x91bdcd042513ada5c77ec478d4a0cbb7066d97998cccb63c7f8ca72a47b3e0cb
[FIP - 208] Frax Ecosystem Educational Incentives,28,534%,https://snapshot.box/#/s:frax.eth/proposal/0x68628a9da164d3653ecdfe515822a3f9af4f603ed0df11621094bd43b3a138fd
[FIP - 207] Authorize matching FRAX from the FXS buyback fund with Frax's ARB airdrop to create ARB-FRAX liquidity,25,82.4%,https://snapshot.box/#/s:frax.eth/proposal/0xf55dd75e3276ae4b9d891c0e3d5b70ed8efa4e9ea5ace2d522915452f35aec94
[FIP - 206] Enabling Bunni-LP frxETH/WETH Gauges on Frax Finance Staking,38,178%,https://snapshot.box/#/s:frax.eth/proposal/0x89c780d95a50e41e8a58f6fca3351b66595fdbfcb29ff710637cedc06380469d
[FIP - 205] Enabling Bunni-LP FRAX/USDC Gauge on Frax Finance Staking,37,175%,https://snapshot.box/#/s:frax.eth/proposal/0xfec18de7cdcf7d9df7102b8e581b8054fc9c3b804e2dcb663d92f6c99f458995
[FIP - 204] Deploy Fraxferry for sfrxETH ( zkSync ),42,461%,https://snapshot.box/#/s:frax.eth/proposal/0x90bdc9d38f95dc1075097a80d785c5a4b55902c2e4b68901bcd24d44135927a1
[FIP - 203] Deploy Fraxferry for frxETH ( zkSync ),36,461%,https://snapshot.box/#/s:frax.eth/proposal/0x42c1625d8d23c01ce5ffee4c8de06177c0bd56673d0383998c16007e2aa86f05
[FIP - 202] Deploy Fraxferry for FXS ( zkSync ),35,456%,https://snapshot.box/#/s:frax.eth/proposal/0x5e1e7258cd891388bcbc72139d26e222ed5f09349f6e32d4b99cb4a5561ecf5d
[FIP - 201] Deploy Fraxferry for FRAX ( zkSync ),36,456%,https://snapshot.box/#/s:frax.eth/proposal/0x02a84e3a2117beabf60f99e57c51c461c9a0ed37a68f33f17ae985dd0c30ba7a
[FIP -200] Add eUSD-FRAXBP,36,461%,https://snapshot.box/#/s:frax.eth/proposal/0xd9c7310812136692b34d217d1f7e1d3955698535f4edc306b9226188d95fe725
[FIP - 199] REVISED: Metronome <> Frax: Partnership and Incentives Strategy,47,462%,https://snapshot.box/#/s:frax.eth/proposal/0xb7eef90646edddd5d96c928dec908e1737abd55620fdb9825655f8c6d7ce7976
[FIP -198] Increase Fraxlend AMO allocation for a pair ( sfrxETH/FRAX - Variable Rate V2 ),33,463%,https://snapshot.box/#/s:frax.eth/proposal/0xdba8251a33ddee3d25bcd4aa9de3ab4984a3fd024bd9f8a5bb396961a94d84d7
[FIP - 197] Add frxETH/WETH (Polygon) to the FXS gauge controller,39,163%,https://snapshot.box/#/s:frax.eth/proposal/0x30f07adde0872b25d410d127537c484ca13c9c9989b31c7f5d619fcec5eb3629
[FIP - 196] Implement FRAX/mUSD pool ragequit function with 20% fee,44,462%,https://snapshot.box/#/s:frax.eth/proposal/0x206884236b6d568ddb3f7cbff5be8556d92bef7ff5cfc5713de39891491d7aad
[FIP - 195] Move Locks Back to 3 Years for 3x Boost,55,633%,https://snapshot.box/#/s:frax.eth/proposal/0xe6a925a1fedc1ab3f5349fe0b405c7ed89cc3e720ad7dc26570e8e9245f11e93
[FIP - 194] Authorize Fraxlend AMO for a new pair ( stkcvxfrxETHCRV/FRAX - Variable Rate V2 ),44,506%,https://snapshot.box/#/s:frax.eth/proposal/0x6fc17d995e620ccd9af812da7354d620a8cfb543b649d28fb829d814cb45e26e
[FIP-193] Add USV/FraxBP to FXS gauge controller,39,2.54%,https://snapshot.box/#/s:frax.eth/proposal/0xd7a869e60d7302c821637f88527db3a4cc927a75566095d2eee1baa01d74c0e3
[FIP - 192] Metronome <> Frax: Partnership and Incentives Strategy,33,0.262%,https://snapshot.box/#/s:frax.eth/proposal/0xda26f181df9014367a1dfeb597c376e17c7b4d1b92fd7555cc3d010cb37b1be2
[FIP - 191] Boosted FRAX-USDC Balancer Euler boosted pool pilot bribe program,35,7.32%,https://snapshot.box/#/s:frax.eth/proposal/0x4c4ad066cb34571872d71c2b4be4a184e300d1326569b571a91065a3f57c6ed0
[FIP - 190] Boosted FRAX-USDC Balancer Euler boosted pool FXS Gauge,35,9.51%,https://snapshot.box/#/s:frax.eth/proposal/0xd5b4f9a9bcf72e50487e476ef7ef36fff86f70b20659cf875034fd988d339f32
[FIP - 189] Boosted FRAX-USDC Balancer Euler boosted pool AMO,37,10.2%,https://snapshot.box/#/s:frax.eth/proposal/0x05888e106ea31cfc1af09dcccbe9012a6cd394dccc0e1bc5ef3587f70b08e483
[FIP - 188] Increase CR to 100%,54,594%,https://snapshot.box/#/s:frax.eth/proposal/0x6d43531f54de3d52ad439dcb6c56e3eae1b833fceb4d484dcb3b20be070ca25d
[FIP - 187] Implementation of a ragequit function FRAX/mUSD (8% /year),48,523%,https://snapshot.box/#/s:frax.eth/proposal/0xa688bcc33398fcb2b7543993962f2049513154fc337646b6433e3f38d84dedc5
